"id","codigo","descripcion","tipo_id"
"655","89","CAMBYRETA","131"
"656","90","CAPITAN MEZA","131"
"657","92","CAPITAN MIRANDA","131"
"658","107","CARLOS A. LOPEZ","131"
"659","91","CARMEN DEL PARANA","131"
"660","93","CORONEL BOGADO","131"
"503","196","BAHIA NEGRA","131"
"504","195","FUERTE OLIMPO","131"
"505","233","MAYOR PABLO LAGERENZA","131"
"506","218","PUERTO CASADO","131"
"507","223","PUERTO GUARANI","131"
"508","145","CIUDAD DEL ESTE","131"
"509","143","DOMINGO MARTINEZ DE IRALA","131"
"510","142","HERNANDARIAS","131"
"511","217","IRUÑA","131"
"512","147","ITAKYRY","131"
"513","148","JUAN E.O'LEARY","131"
"514","146","JUAN LEON MALLORQUIN","131"
"515","211","LOS CEDRALES","131"
"516","219","MBARACAYU","131"
"517","210","MINGA GUAZU","131"
"518","213","MINGA PORA","131"
"519","215","NARANJAL","131"
"520","240","NUEVA ESPERANZA","131"
"521","144","ÑACUNDAY","131"
"522","149","PUERTO PTE.FRANCO","131"
"523","212","SAN ALBERTO","131"
"524","151","SAN CRISTOBAL","131"
"525","239","SANTA FE DEL PARANA","131"
"526","209","SANTA RITA","131"
"527","216","SANTA ROSA DEL MONDAY","131"
"528","150","YGUAZU","131"
"529","186","BELLA VISTA","131"
"530","187","CAPITAN BADO","131"
"531","278","KARAPAI","131"
"532","185","PEDRO JUAN CABALLERO","131"
"533","193","BOQUERON","131"
"534","259","FILADELFIA","131"
"535","234","GRAL. EUGENIO A. GARAY","131"
"536","260","LOMA PLATA","131"
"537","192","MCAL.ESTIGARRIBIA","131"
"538","194","PEDRO P.PEÑA","131"
"539","62","CAAGUAZU","131"
"540","63","CARAYAO","131"
"541","64","CECILIO BAEZ","131"
"542","61","CNEL. OVIEDO","131"
"543","244","ESCULIES","131"
"544","72","J. EULOGIO ESTIGARRIBIA","131"
"545","73","JOSE D. OCAMPOS","131"
"546","69","JUAN MANUEL FRUTOS","131"
"547","229","LA PASTORA","131"
"548","76","MCAL.F.SOLANO LOPEZ","131"
"549","65","NUEVA LONDRES","131"
"550","75","RAUL A. OVIEDO","131"
"551","70","REPATRIACION","131"
"552","74","R.I.3 CORRALES","131"
"553","66","SAN JOAQUIN","131"
"554","67","SAN JOSE DE LOS ARROYOS","131"
"555","71","SANTA ROSA DEL MBUTUY","131"
"556","228","SIMON BOLIVAR","131"
"557","275","TEMBIAPORA","131"
"558","237","VAQUERIA","131"
"559","68","YHU","131"
"560","227","3 DE FEBRERO","131"
"561","83","ABAI","131"
